design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.18,0.01,0.11,0.03,0.05,119802,740763,4726,22808,5058
mult64.r,128,128,44657,605,2.00,0.07,1.86,0.03,0.04,79070,358016,3862,40720,603
mult128.r,256,256,181241,1187,8.74,0.28,7.14,1.17,1.24,8814880,3938080,15477,167489,1187
hyp,256,128,214335,24801,24.07,0.55,20.34,3.06,3.07,324256,86622148,2259,212449,24808
mult256.r,512,512,724133,2377,72.62,1.18,33.54,37.08,37.39,279508804,34309927,61624,665964,2376
testcase15.stp,422250,1,762659,38318,2091.11,1.12,6.37,2079.43,2083.17,700104624,9973852720,479989,581009,219
netcard,195730,97805,802919,39,166.25,0.56,3.41,141.53,161.62,2710153,6259370423,329455,615667,38
sort1024.r,1024,1024,2773507,2661,75.93,5.45,66.84,0.84,1.56,4152279,6121636,115061,2752699,2661
mult512.r,1024,1024,2905935,4961,252.60,4.66,109.91,134.63,135.83,34321653,1118548979,242556,2733093,4961
sort2048.r,2048,2048,10769494,5528,307.40,22.21,231.06,41.85,44.85,394361761,16072841,399546,10602620,5528
mult1024.r,2048,2048,11695025,9917,592.31,20.02,483.98,72.78,78.88,20994206,765772538,1015222,10649104,9915
sixteen,117,50,16216836,140,7050.19,25.20,203.54,5761.93,6802.40,32612840,41919536714,3179542,13549671,107
twenty,137,60,20732893,162,9752.01,32.61,258.65,7997.05,9434.02,54337267,59023267142,4032795,17136270,105
twentythree,153,68,23339737,176,13164.90,36.87,289.85,11070.94,12809.60,66555150,78147393546,4606018,19206366,120
sort4096.r,4096,4096,41920515,13924,2164.60,129.03,1974.66,11.74,22.69,32470884,107527823,1423732,41752825,13924
