design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.82,0.13,0.27,0.34,0.36,116307,381574,5176,19441,5058
mult64.r,128,128,44657,605,0.95,0.24,0.47,0.16,0.18,1052933,1273497,4630,33817,583
mult128.r,256,256,181241,1187,4.46,0.98,1.89,1.37,1.46,6520718,13032906,19399,136414,1164
hyp,256,128,214335,24801,3.38,0.93,2.28,0.01,0.01,155,1001,59,214274,24801
mult256.r,512,512,724133,2377,29.91,3.88,8.42,16.68,17.08,66389722,119689519,73714,551090,2293
testcase15.stp,422250,1,762659,38318,36.73,1.32,2.48,32.05,32.46,1925401,705833,53722,540383,38285
netcard,195730,97805,802919,39,23.98,1.78,5.81,8.55,15.72,554008,377479571,98124,520660,38
sort1024.r,1024,1024,2773507,2661,411.23,10.16,40.17,357.27,358.74,1332875041,2591408768,262041,2094695,2354
mult512.r,1024,1024,2905935,4961,114.79,16.00,39.44,55.32,57.06,296938073,122875353,303393,2211255,4960
sort2048.r,2048,2048,10769494,5528,3717.34,41.97,196.39,3462.09,3469.42,15463910467,18288819571,1153125,8382876,4505
mult1024.r,2048,2048,11695025,9917,1430.53,65.78,183.69,1162.50,1171.33,4853939349,5442080345,1243798,8769337,9511
sixteen,117,50,16216836,140,7290.73,52.30,298.19,6213.53,6922.00,78278562,57217948206,4001445,12177639,109
twenty,137,60,20732893,162,10860.90,68.15,402.80,9372.57,10366.23,123211144,81347364609,5162988,15511594,111
twentythree,153,68,23339737,176,12945.94,75.14,454.74,11168.16,12388.94,148441408,96470192964,5891239,17373362,129
