design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.47,0.01,0.10,0.32,0.34,119987,722694,4726,22808,5058
mult64.r,128,128,44657,605,1.91,0.07,1.77,0.05,0.06,79202,309242,3862,40720,603
mult128.r,256,256,181241,1187,7.90,0.26,6.73,0.75,0.82,8816690,1360137,15477,167489,1187
hyp,256,128,214335,24801,23.13,0.54,19.69,2.78,2.80,324417,86622226,2259,212449,24808
mult256.r,512,512,724133,2377,54.73,1.13,32.62,20.21,20.49,279521299,30093884,61624,665964,2376
testcase15.stp,422250,1,762659,38318,2924.12,1.30,6.83,2911.28,2915.44,700141406,9958047629,479989,581009,219
netcard,195730,97805,802919,39,158.97,0.50,3.19,135.12,154.63,3209246,6259335793,329455,615667,38
sort1024.r,1024,1024,2773507,2661,75.27,5.20,63.32,4.05,4.77,4152899,6121650,115061,2752699,2661
mult512.r,1024,1024,2905935,4961,201.90,4.42,107.16,87.00,88.15,34323379,1003784443,242556,2733093,4961
sort2048.r,2048,2048,10769494,5528,306.58,18.94,216.47,59.69,62.45,394573741,16072553,399546,10602620,5528
mult1024.r,2048,2048,11695025,9917,682.57,18.92,481.15,166.84,173.00,20996354,360163770,1015222,10649104,9915
sixteen,117,50,16216836,140,6265.00,24.42,192.98,5034.16,6030.10,32614131,41895244214,3179542,13549671,107
twenty,137,60,20732893,162,8790.86,30.42,241.91,7124.43,8495.97,54339654,58989720894,4032795,17136270,105
twentythree,153,68,23339737,176,12163.12,34.55,272.96,10160.43,11829.78,66557939,78108212601,4606018,19206366,120
sort4096.r,4096,4096,41920515,13924,2363.34,114.77,1938.79,260.50,271.55,32473344,107527823,1423732,41752825,13924
