design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.17,0.01,0.11,0.02,0.04,54666,24960,4726,22808,5058
mult64.r,128,128,44657,605,2.03,0.07,1.90,0.01,0.03,88407,17310,3862,40720,603
mult128.r,256,256,181241,1187,7.73,0.27,7.22,0.03,0.10,384561,68299,15477,167489,1187
hyp,256,128,214335,24801,21.13,0.55,20.40,0.01,0.02,428988,10402,2259,212449,24808
mult256.r,512,512,724133,2377,36.91,1.18,34.64,0.10,0.40,1516720,258343,61624,665964,2376
testcase15.stp,422250,1,762659,38318,480.42,1.07,6.18,468.73,448.84,1965265,1523649050,479989,581009,219
netcard,195730,97805,802919,39,24.91,0.40,3.01,0.94,20.58,1742174,2047102,329452,615670,38
sort1024.r,1024,1024,2773507,2661,74.39,5.56,65.02,0.29,1.06,5839047,610742,115061,2752699,2661
mult512.r,1024,1024,2905935,4961,121.78,4.69,112.62,0.39,1.57,5811081,1033964,242556,2733093,4961
sort2048.r,2048,2048,10769494,5528,258.73,21.14,222.03,1.01,3.71,22463545,1955705,399546,10602620,5528
mult1024.r,2048,2048,11695025,9917,546.64,20.37,506.24,1.73,7.73,23137112,4528686,1015222,10649104,9915
sixteen,117,50,16216836,140,1255.97,22.18,193.18,15.62,1016.63,35533549,48888788,3179542,13549672,107
twenty,137,60,20732893,162,1686.62,28.09,241.30,22.76,1386.33,45413056,74971676,4032798,17136276,105
twentythree,153,68,23339737,176,2056.27,32.79,277.20,27.50,1710.78,51197744,89220516,4606015,19206366,120
sort4096.r,4096,4096,41920515,13924,2192.40,128.11,2000.00,3.77,14.48,87105675,7368148,1423732,41752825,13924
