design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.50,0.14,0.28,0.01,0.02,56645,12681,5176,19441,5058
mult64.r,128,128,44657,605,0.87,0.24,0.52,0.01,0.03,91636,17470,4660,33817,583
mult128.r,256,256,181241,1187,3.42,0.98,2.09,0.03,0.13,381319,73255,19413,136511,1160
hyp,256,128,214335,24801,3.53,0.95,2.38,0.01,0.00,428729,280,59,214274,24801
mult256.r,512,512,724133,2377,14.14,3.92,8.95,0.13,0.53,1505973,272757,74237,549942,2279
testcase15.stp,422250,1,762659,38318,19.13,1.21,2.27,14.67,13.08,1580642,162376,53722,540383,38285
netcard,195730,97805,802919,39,16.23,1.75,6.02,0.17,7.51,1609439,308239,98123,520658,38
sort1024.r,1024,1024,2773507,2661,54.39,10.07,39.65,0.44,1.73,5944624,824982,262041,2094491,2150
mult512.r,1024,1024,2905935,4961,61.76,15.93,40.56,0.51,2.21,6026951,1069364,298408,2217175,4984
sort2048.r,2048,2048,10769494,5528,261.78,41.28,199.41,1.97,8.17,23153569,3249862,1153125,8382466,4095
mult1024.r,2048,2048,11695025,9917,277.02,64.52,189.47,2.13,10.25,24018705,4691167,1251445,8777368,9511
sixteen,117,50,16216836,140,1082.15,47.21,286.56,5.16,724.50,36422757,16035427,4000609,12178484,109
twenty,137,60,20732893,162,1526.79,61.65,407.63,7.37,1024.72,46614874,23538781,5162153,15512458,111
twentythree,153,68,23339737,176,1801.27,68.49,454.15,8.50,1243.44,52556619,27659553,5890294,17374403,129
sort4096.r,4096,4096,41920515,13924,1036.28,163.31,789.82,6.92,31.25,89201796,13153851,4607797,33544600,8191
