design,#input,#output,#and,#level,all_time,cut_time,resyn_time,lev_upd_time,aig_conv_time,lev_upd_num,rev_upd_num,gain_nodes,#and_rw,#lev_rw
sqrt,128,64,24618,5058,0.51,0.14,0.28,0.02,0.03,116183,384541,5176,19441,5058
mult64.r,128,128,44657,605,1.06,0.25,0.50,0.21,0.24,1043130,1520089,4630,33817,583
mult128.r,256,256,181241,1187,5.11,1.03,2.03,1.81,1.90,6510385,13055854,19399,136414,1164
hyp,256,128,214335,24801,3.59,1.00,2.44,0.00,0.00,155,1001,59,214274,24801
mult256.r,512,512,724133,2377,35.49,4.10,8.88,21.53,21.95,66346616,120647919,73714,551090,2293
testcase15.stp,422250,1,762659,38318,4.51,1.29,2.22,0.22,0.53,1925368,705829,53722,540383,38285
netcard,195730,97805,802919,39,25.32,1.89,6.20,8.97,16.55,477151,377484327,98124,520660,38
sort1024.r,1024,1024,2773507,2661,640.08,11.26,44.15,580.80,582.40,1332350080,2710743364,262041,2094695,2354
mult512.r,1024,1024,2905935,4961,112.36,16.70,40.91,50.64,52.40,281167605,131647208,303393,2211255,4960
sort2048.r,2048,2048,10769494,5528,6454.22,44.65,198.95,6193.89,6200.98,15460976529,23817872686,1153125,8382876,4505
mult1024.r,2048,2048,11695025,9917,1906.51,68.91,197.14,1621.54,1630.48,4853043542,6877598467,1243798,8769337,9511
sixteen,117,50,16216836,140,8384.75,56.91,339.57,7205.53,7969.33,78276803,57218593906,4001445,12177639,109
twenty,137,60,20732893,162,13015.15,73.71,476.39,11370.81,12440.23,123208481,81348675423,5162988,15511594,111
twentythree,153,68,23339737,176,15132.17,83.57,550.95,13144.37,14469.48,148438428,96471778108,5891239,17373362,129
sort4096.r,4096,4096,41920515,13924,93646.67,192.37,890.63,92489.18,92522.06,238713382096,370825213392,4524361,33628036,8599
